진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018,ADHD, 전남 , 신안군 , 남 ,0,0,0
2018,ADHD, 전남 , 신안군 , 여 ,0,0,0
2018,ADHD, 전남 , 영광군 , 남 ,0,0,0
2018,ADHD, 전남 , 영광군 , 여 ,0,0,0
2018,ADHD, 전남 , 영암군 , 남 ,0,0,0
2018,ADHD, 전남 , 영암군 , 여 ,0,0,0
2018,ADHD, 전남 , 완도군 , 남 ,0,0,0
2018,ADHD, 전남 , 완도군 , 여 ,0,0,0
2018,ADHD, 전남 , 장성군 , 남 ,0,0,0
2018,ADHD, 전남 , 장성군 , 여 ,0,0,0
2018,ADHD, 전남 , 장흥군 , 남 ,0,0,0
2018,ADHD, 전남 , 장흥군 , 여 ,0,0,0
2018,ADHD, 전남 , 진도군 , 남 ,0,0,0
2018,ADHD, 전남 , 진도군 , 여 ,0,0,0
2018,ADHD, 전남 , 함평군 , 남 ,0,0,0
2018,ADHD, 전남 , 함평군 , 여 ,0,0,0
2018,ADHD, 전남 , 해남군 , 남 ,10,48,1751800
2018,ADHD, 전남 , 해남군 , 여 ,0,0,0
2018,ADHD, 전남 , 화순군 , 남 ,0,0,0
2018,ADHD, 전남 , 화순군 , 여 ,0,0,0
2018,ADHD, 전남 , 나주시 , 남 ,59,1188,92737610
2018,ADHD, 전남 , 나주시 , 여 ,10,186,12692230
2018,ADHD, 전남 , 목포시 , 남 ,139,1064,61933530
2018,ADHD, 전남 , 목포시 , 여 ,35,246,14839350
2018,ADHD, 전남 , 순천시 , 남 ,208,1686,131959310
2018,ADHD, 전남 , 순천시 , 여 ,35,261,21643270
2018,ADHD, 전남 , 여수시 , 남 ,111,858,42609530
2018,ADHD, 전남 , 여수시 , 여 ,26,189,8251930
2018,ADHD, 전남 , 광양시 , 남 ,81,666,26733230
2018,ADHD, 전남 , 광양시 , 여 ,11,49,2089870
2018,ADHD, 경북 , 고령군 , 남 ,0,0,0
2018,ADHD, 경북 , 고령군 , 여 ,0,0,0
2018,ADHD, 경북 , 군위군 , 남 ,0,0,0
2018,ADHD, 경북 , 군위군 , 여 ,0,0,0
2018,ADHD, 경북 , 봉화군 , 남 ,0,0,0
2018,ADHD, 경북 , 봉화군 , 여 ,0,0,0
2018,ADHD, 경북 , 성주군 , 남 ,0,0,0
2018,ADHD, 경북 , 성주군 , 여 ,0,0,0
2018,ADHD, 경북 , 영덕군 , 남 ,0,0,0
2018,ADHD, 경북 , 영덕군 , 여 ,0,0,0
2018,ADHD, 경북 , 영양군 , 남 ,0,0,0
2018,ADHD, 경북 , 영양군 , 여 ,0,0,0
2018,ADHD, 경북 , 예천군 , 남 ,0,0,0
2018,ADHD, 경북 , 예천군 , 여 ,0,0,0
2018,ADHD, 경북 , 울릉군 , 남 ,0,0,0
2018,ADHD, 경북 , 울릉군 , 여 ,0,0,0
2018,ADHD, 경북 , 울진군 , 남 ,0,0,0
2018,ADHD, 경북 , 울진군 , 여 ,0,0,0
2018,ADHD, 경북 , 의성군 , 남 ,0,0,0
2018,ADHD, 경북 , 의성군 , 여 ,0,0,0
2018,ADHD, 경북 , 청도군 , 남 ,0,0,0
2018,ADHD, 경북 , 청도군 , 여 ,0,0,0
2018,ADHD, 경북 , 청송군 , 남 ,0,0,0
2018,ADHD, 경북 , 청송군 , 여 ,0,0,0
